code,name,type,status,zone_id,zone_name,operator,lng,lat,twd97_x,twd97_y,elevation_m,total_depth_m,spud_date,completion_date,updated_at
CHB-1,彰濱一號探勘井,exploration,completed,zone-ch-01,彰濱鹽水層試驗場址,台灣電力公司,120.412,24.105,190223.87,2666776.93,5.2,3050,2022-10-12,2023-03-28,2026-05-14T02:00:00Z
CHB-2,彰濱監測井,monitoring,completed,zone-ch-01,彰濱鹽水層試驗場址,台灣電力公司,120.418,24.098,190830.63,2665999.12,4.8,1200,2023-06-05,2023-08-20,2025-11-02T02:00:00Z
CHB-3,彰濱注儲試驗井（規劃）,injection,planned,zone-ch-01,彰濱鹽水層試驗場址,台灣電力公司,120.415,24.102,190527.48,2666443.4,5,2900,,,2026-07-20T02:00:00Z
PT-1,屏東平原一號觀測井,observation,completed,zone-pt-01,屏東平原鹽水層,地質調查及礦業管理中心,120.52,22.58,200642.78,2497855.91,32,800,2019-04-01,2019-05-30,2023-01-10T08:00:00Z
TCH-1,臺中港外海一號探勘井（規劃）,exploration,planned,zone-tc-01,臺中港外海鹽水層,地質調查及礦業管理中心,120.38,24.33,187081.29,2691710.73,0,2800,,,2026-01-15T02:00:00Z
TCS-1,鐵砧山注儲試驗井,injection,completed,zone-ml-01,鐵砧山枯竭氣田,台灣中油股份有限公司,120.684,24.472,217967.89,2707333.98,186.5,3400,2021-03-15,2021-09-30,2026-06-30T02:00:00Z
TCS-2,鐵砧山監測井,monitoring,completed,zone-ml-01,鐵砧山枯竭氣田,台灣中油股份有限公司,120.69,24.468,218575.11,2706889.59,172,3300,2021-10-10,2022-02-18,2025-09-15T02:00:00Z
TN-B1,臺南盆地 B-1 探勘井,exploration,completed,zone-tn-01,臺南盆地西南海域鹽水層,台灣中油股份有限公司,120.08,22.95,155651.16,2539041.88,25,3500,1992-03-10,1992-08-22,2025-06-10T02:00:00Z
TX-A1,臺西盆地 A-1 探勘井,exploration,completed,zone-tx-01,臺西盆地北區鹽水層,台灣中油股份有限公司,120.06,24.42,154673.01,2701861.51,25,2900,1986-05-20,1986-09-02,2025-06-10T02:00:00Z
TX-A2,臺西盆地 A-2 探勘井,exploration,completed,zone-tx-01,臺西盆地北區鹽水層,台灣中油股份有限公司,120.15,24.31,163725.95,2689618.9,25,3100,1988-02-11,1988-06-30,2025-06-10T02:00:00Z
TX-B1,臺西盆地 B-1 探勘井,exploration,completed,zone-tx-02,臺西盆地中區鹽水層,台灣中油股份有限公司,120.05,23.95,153305.18,2649811.22,25,2750,1985-08-01,1985-11-15,2025-06-10T02:00:00Z
YHS-5,永和山五號井,production,suspended,zone-ml-02,永和山氣田,台灣中油股份有限公司,120.862,24.638,236029.74,2725689.77,210,3100,1998-04-02,1998-11-20,2024-03-01T02:00:00Z
